0 0.149557
0.16 0.148074
0.32 0.147747
0.48 0.149042
0.64 0.148743
0.8 0.148899
0.96 0.148759
1.12 0.148411
1.28 0.148566
1.44 0.14863
1.6 0.148504
1.76 0.148583
1.92 0.148459
2.08 0.148618
2.24 0.148737
2.4 0.148995
2.56 0.150336
2.72 0.151161
2.88 0.151584
3.04 0.151766
3.2 0.151619
3.36 0.150732
3.52 0.150926
3.68 0.151028
3.84 0.150808
4 0.150991
4.16 0.150807
4.32 0.150713
4.48 0.150739
4.64 0.15064
4.8 0.150622
4.96 0.150333
5.12 0.150195
5.28 0.149754
5.44 0.148437
5.6 0.147855
5.76 0.147705
5.92 0.147264
6.08 0.147658
6.24 0.148056
6.4 0.147865
6.56 0.147727
6.72 0.147628
6.88 0.14784
7.04 0.147597
7.2 0.147635
7.36 0.147651
7.52 0.147674
7.68 0.147685
7.84 0.147618
8 0.147933
8.16 0.148532
8.32 0.149152
8.48 0.149609
8.64 0.149891
8.8 0.149864
8.96 0.149398
9.12 0.149281
9.28 0.149427
9.44 0.149314
9.6 0.149226
9.76 0.149314
9.92 0.149189
10.08 0.149114
10.24 0.149072
10.4 0.149002
10.56 0.148903
10.72 0.148779
10.88 0.148472
11.04 0.147807
11.2 0.147244
11.36 0.146896
11.52 0.146568
11.68 0.146692
11.84 0.146905
12 0.14682
12.16 0.146745
12.32 0.146735
12.48 0.146733
12.64 0.146596
12.8 0.146595
12.96 0.146672
13.12 0.146587
13.28 0.146553
13.44 0.146627
13.6 0.146706
13.76 0.146938
13.92 0.14739
14.08 0.147863
14.24 0.148041
14.4 0.148082
14.56 0.147963
14.72 0.147833
14.88 0.147784
15.04 0.147729
15.2 0.147773
15.36 0.147724
15.52 0.147648
15.68 0.147628
15.84 0.147585
16 0.147506
16.16 0.147448
16.32 0.147357
16.48 0.147224
16.64 0.146859
16.8 0.146371
16.96 0.146084
17.12 0.14585
17.28 0.14575
17.44 0.145843
17.6 0.14587
17.76 0.145832
17.92 0.145781
18.08 0.145756
18.24 0.14574
18.4 0.145696
18.56 0.145703
18.72 0.145691
18.88 0.145691
19.04 0.145712
19.2 0.145736
19.36 0.145843
19.52 0.146159
19.68 0.146487
19.84 0.146649
20 0.146781
20.16 0.146825
20.32 0.146682
20.48 0.146627
20.64 0.146678
20.8 0.146658
20.96 0.146617
21.12 0.146605
21.28 0.146628
21.44 0.146573
21.6 0.146511
21.76 0.146508
21.92 0.146477
22.08 0.146377
22.24 0.146195
22.4 0.145925
22.56 0.14566
22.72 0.145464
22.88 0.14535
23.04 0.14537
23.2 0.145411
23.36 0.145377
23.52 0.145368
23.68 0.145372
23.84 0.145347
24 0.145324
24.16 0.14534
24.32 0.145348
24.48 0.145352
24.64 0.14537
24.8 0.145387
24.96 0.145464
25.12 0.145625
25.28 0.14585
25.44 0.146044
25.6 0.146172
25.76 0.146237
25.92 0.1462
26.08 0.146179
26.24 0.1462
26.4 0.146185
26.56 0.146181
26.72 0.1462
26.88 0.146197
27.04 0.146171
27.2 0.146157
27.36 0.146153
27.52 0.146126
27.68 0.146078
27.84 0.146006
28 0.145846
28.16 0.145638
